GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
0400000US19,Iowa,1303763,3538,52437,1662,44479,1549,44206,1264,46647,1591,46373,1755,48924,1795,50787,1622,51146,1706,50397,1403,97655,2453,134255,2497,183491,3142,142501,2615,97398,2117,108899,2345,104168,2147
1400000US19153000101,Census Tract 1.01,1605,232,192,162,143,85,27,26,95,57,37,34,109,99,91,84,176,89,122,91,155,67,109,68,138,68,60,50,51,56,72,51,28,29
1400000US19153000102,Census Tract 1.02,1441,117,16,18,37,38,28,44,0,10,9,14,55,52,87,60,100,82,53,54,171,98,254,113,207,98,252,101,81,52,47,36,44,32
1400000US19153000103,Census Tract 1.03,896,264,9,14,6,9,40,29,21,27,13,15,47,41,65,47,57,53,6,10,35,25,122,72,301,277,87,44,20,18,45,37,22,23
1400000US19153000201,Census Tract 2.01,1146,118,40,33,159,83,42,56,56,46,26,24,49,47,53,59,13,16,24,28,56,34,136,73,197,103,94,38,86,68,83,67,32,36
1400000US19153000202,Census Tract 2.02,1299,127,21,31,10,11,20,22,39,43,72,48,100,73,96,63,56,36,69,51,168,91,174,70,243,131,104,65,87,57,17,20,23,29
1400000US19153000300,Census Tract 3,1466,240,93,73,0,10,113,129,41,44,78,66,67,73,131,109,55,50,106,80,243,127,166,139,126,66,152,95,45,36,15,17,35,36
1400000US19153000400,Census Tract 4,1862,182,98,75,118,64,90,63,128,89,55,57,59,54,86,49,81,43,28,26,222,102,248,106,398,132,99,42,22,25,89,58,41,46
1400000US19153000500,Census Tract 5,1826,231,81,91,20,22,52,33,72,51,48,40,71,70,205,134,213,186,62,54,212,84,207,92,415,126,91,53,35,35,35,39,7,12
1400000US19153000600,Census Tract 6,1563,213,11,18,162,97,28,29,84,70,96,71,27,25,83,68,58,46,78,49,120,63,90,54,405,181,150,86,64,48,55,37,52,54
1400000US19153000701,Census Tract 7.01,1472,211,24,27,70,45,70,66,166,102,40,38,72,80,56,51,80,93,70,67,115,81,88,69,356,177,110,69,115,65,20,21,20,23
1400000US19153000702,Census Tract 7.02,1488,160,17,20,59,62,7,11,0,10,50,31,102,92,33,26,112,80,118,62,88,73,161,69,328,130,117,52,107,54,122,55,67,56
1400000US19153000703,Census Tract 7.03,1339,112,16,20,34,54,32,31,31,27,27,28,23,25,111,69,36,30,63,49,140,76,107,48,221,101,126,61,113,50,189,58,70,43
1400000US19153000704,Census Tract 7.04,1407,264,58,50,66,63,0,10,0,10,14,15,7,11,50,35,115,67,126,70,96,83,186,102,167,77,304,217,49,34,63,40,106,64
1400000US19153000801,Census Tract 8.01,2298,285,61,50,58,72,79,89,0,15,18,26,59,93,119,111,37,45,174,127,205,136,290,161,651,256,96,78,251,124,141,95,59,51
1400000US19153000802,Census Tract 8.02,1660,155,34,23,41,46,50,50,30,25,28,27,132,81,15,17,24,23,92,67,113,73,125,72,354,135,194,67,122,55,158,71,148,61
